ags,ags_lat,ags_lon,nettonennleistung_gesamt,anzahl_gesamt
01051135,54.073117314694905,9.108559587104706,3014.0000000000005,52
01051136,54.21494774017609,9.401032149013494,2071.9449999999993,91
01051137,54.11790039398292,8.996052913714093,14226.045000000002,139
01051138,54.11170616891089,9.238544640839175,2288.4649999999983,75
01051139,54.21092316794873,9.339610132840386,1718.7700000000002,66
01051140,54.211506347943846,8.969817249721409,2046.1249999999998,41
01051141,54.24048417812804,9.150024123770843,1999.0999999999992,73
01053001,53.681130383746506,10.698771031615541,162.8,3
01053002,53.62009471065613,10.658316000297908,694.3199999999999,54
01053003,53.524865219711664,10.319735157505947,586.6550000000005,96
01053004,53.72604421741876,10.788635373824736,326.6,48
01053005,53.62039354021066,10.612174270194718,814.605,20
01053006,53.418806701348345,10.582446531675187,352.9150000000002,44
01053007,53.575985857590034,10.484381340613142,255.79499999999993,36
01053008,53.699707407201714,10.662629540572226,237.65,25
01053009,53.73644612965729,10.65304324717185,1338.5900000000006,193
01053010,53.53770985266198,10.731690573892065,149.54,5
01053011,53.771918923167284,10.584555672968015,380.4950000000001,43
01053012,53.475378849510165,10.281921140948599,1604.121999999998,219
01053013,53.60962805502398,10.552707387256266,135.49,26
01053014,53.60107403594881,10.623917821102891,2193.2799999999993,136
01053015,53.47383105182616,10.671320888634853,390.3350000000001,42
01053016,53.61195773060836,10.735086989051762,123.66499999999996,23
01053017,53.49274688013571,10.427586483782576,524.445,54
01053018,53.73194798094272,10.734291447699423,274.53000000000003,26
01053019,53.39098797315332,10.571325266405529,294.75,17
01053020,53.48484551835523,10.619627179276272,3977.997999999995,433
01053021,53.58425678073624,10.44513500961787,330.25,18
01053022,53.43244120045989,10.608767306432105,184.91,26
01053023,53.49424442248483,10.372894669393434,1977.4999999999989,224
01053024,53.7337443051081,10.576387522748227,66.925,8
01053025,53.6973931561548,10.573798653713492,344.01,28
01053026,53.720207472608905,10.723824324826724,335.96500000000003,38
01053027,53.54745549189177,10.526829690022417,25816.359999999993,81
01053028,53.462748940599816,10.314942761179402,1622.648999999998,248
01053029,53.506248341257894,10.652551761559254,340.78000000000003,34
01053030,53.65815587577336,10.730284670787615,189.78,3
01053031,53.57235742574515,10.527616241754314,246.375,30
01053032,53.43213001237748,10.388377596256845,8385.355000000018,797
01053033,53.688099254675116,10.716239691167697,64.14,6
01053034,53.721600964621494,10.623325457915776,192.26999999999998,23
01053035,53.53318290034593,10.705494128605807,133.135,6
01053036,53.51335726162036,10.513826144662906,345.4600000000002,45
01053037,53.56702095300881,10.694305523965992,373.205,48
01053038,53.77288715797946,10.546263649422746,78.07900000000001,12
01053039,53.74949585169327,10.46025300109036,177.605,21
01053040,53.7356341499903,10.69115518280837,99.46000000000001,8
01053041,53.80822529309749,10.74418336760913,1031.0290000000002,169
01053042,53.52551187701775,10.563442950051229,87.22,12
01053043,53.77528806029269,10.724885807341987,2001.6109999999996,84
01053044,53.795743212280875,10.575484404857889,339.63700000000006,43
01053045,53.527844205522854,10.486440939263103,270.88000000000005,14
01053046,53.55250461489094,10.786437191930569,2354.6650000000013,133
01053047,53.45830728407111,10.493913300883799,951.5750000000002,76
01053048,53.532954829036356,10.672594826091625,1230.243999999999,88
01053049,53.59711004524381,10.442138658478644,158.93,26
01053050,53.45135218404961,10.423693110926271,273.9309999999999,39
01053051,53.70629133495257,10.720349206536016,182.85999999999999,22
01053052,53.5405667680043,10.468025799256697,471.43000000000006,21
01053053,53.471915721255684,10.372570192186346,495.04000000000013,41
01053054,53.58848175710505,10.823945795563713,732.8530000000001,35
01053056,53.55495671395178,10.653927710179207,100.53999999999999,9
01053057,53.62281027189409,10.769743668969648,155.37999999999997,17
01053058,53.419174434478506,10.511282493169798,207.02500000000003,20
01053059,53.55021958553745,10.570406196456691,311.21,23
01053060,53.56267255461123,10.415174701637483,423.93500000000006,40
01053061,53.74817828776264,10.562673751889259,1124.6850000000006,104
01053062,53.665631346938284,10.921509865750616,365.1200000000002,27
01053064,53.5122293940286,10.5859759688434,353.45399999999995,44
01053066,53.57869689015585,10.868414620295813,1011.7800000000001,24
01053067,53.76831526392058,10.67064593278177,488.28500000000014,59
01053068,53.71900563580317,10.557229917933574,366.6700000000001,27
01053069,53.63514246608646,10.527180534794217,229.75499999999994,36
01053070,53.609549428121944,10.513605757649259,93.717,16
01053071,53.46812332461382,10.462124238343335,371.0780000000001,48
01053072,53.48018377255906,10.331950603725433,676.7479999999999,101
01053073,53.40555872463688,10.53538115727296,323.045,25
01053074,53.41954719657317,10.479391722858946,278.95,17
01053075,53.78476023231539,10.651643611103864,601.3090000000003,107
01053076,53.58070780876607,10.408221149558782,553.0500000000001,96
01053077,53.683454601918946,10.613783752651061,187.01500000000001,21
