tech,ags,ags_lat,ags_lon,avg_cf_gesamt,avg_cf_gesamt_power_weighted,nettonennleistung_gesamt,anzahl_gesamt
wind,05170048,51.66926034448874,6.581233683236179,0.2720883333333333,0.29521109058565953,15225.0,5
wind,05170052,51.673493780144724,6.432882753092424,0.2418375,0.24183750000000004,600.0,1
wind,05314000,50.70516991219298,7.110222942009642,0.0042833333333333334,0.0042833333333333334,0.15,1
wind,05315000,50.94545375961203,6.973901140703859,0.25064166666666665,0.2511167619907686,16610.0,7
wind,05334002,50.75881534153762,6.111187201896734,0.303609375,0.3230503199634327,58340.0,24
wind,05334004,50.868281517848864,6.1756641069194504,0.2768359375,0.27466050838574424,15900.0,8
wind,05334008,50.91789009162841,6.184577506940094,0.25512532051282044,0.2715902279521675,22300.0,13
wind,05334012,50.82856669545568,6.26964074443143,0.32879781746031733,0.3452831783281934,51880.0,21
wind,05334016,50.86439909380474,6.099459575484046,0.2630416666666667,0.3344664532738587,6053.0,4
wind,05334020,50.541916249938886,6.266502382205712,0.3278960648148149,0.3436264973958332,38400.0,18
wind,05334028,50.614559243043566,6.327742274295796,0.3215826388888889,0.33552953133441393,61700.0,24
wind,05334032,50.74646250422588,6.263215910446467,0.3177375,0.3177375,1500.0,1
wind,05334036,50.82838859686411,6.150743646601402,0.3545883333333334,0.35135595238095246,25200.0,5
wind,05358004,50.898763349249485,6.260938425780777,0.31094959677419354,0.3201667631181328,113615.0,31
wind,05358008,50.803276464523094,6.4612880708488065,0.300371893939394,0.3240286144477947,125041.0,55
wind,05358012,50.63181196046678,6.488242955392219,0.2711602083333333,0.2885679741650913,52900.0,20
wind,05358016,50.71153223213322,6.372969181216621,0.2693864583333333,0.2694978142076502,6100.0,4
wind,05358024,50.92864735549476,6.368901657360531,0.29019687500000013,0.30127636977371797,115055.5,36
wind,05358028,50.73302545532925,6.492097817938721,0.36266249999999994,0.36266249999999994,3200.0,1
wind,05358036,50.97628538853582,6.283085449129116,0.32033111111111096,0.328432303856931,121340.0,45
wind,05358040,50.84333071568437,6.5497629029891735,0.24723809523809526,0.2467018315018315,9100.0,7
wind,05358044,50.67615645499164,6.486926693384399,0.24865999999999996,0.24871499999999996,10000.0,5
wind,05358048,50.893670283904605,6.475467489096221,0.2778291666666666,0.2778291666666667,41000.0,20
wind,05358056,50.99596985058131,6.42329232719371,0.29266666666666663,0.3092949779249448,15100.0,3
wind,05358060,50.742354103215035,6.605232928766852,0.2597124999999999,0.2686102180880714,47840.0,19
wind,05362004,51.00934499699111,6.546451362626817,0.2452916666666666,0.2452916666666666,3000.0,2
wind,05362008,50.967988877285514,6.673934080016944,0.2493124999999999,0.26174872960113005,71736.0,22
wind,05362016,50.932375069268694,6.562542799358525,0.2742525,0.29556680803571433,56000.0,15
wind,05362020,50.79389603454436,6.767727010412546,0.2881712499999999,0.30019727312390926,114600.0,40
wind,05362024,50.91373146407651,6.782466884686425,0.25225937500000006,0.27427698821796764,13580.0,4
wind,05362028,50.87423333363592,6.8584167969919445,0.2021708333333333,0.2021708333333333,4600.0,2
wind,05362032,50.87520233555568,6.669525828570022,0.24006249999999996,0.2574605263157894,39900.0,8
wind,05366008,50.40803146675268,6.688634412348233,0.31118723958333355,0.33098137331256494,96300.0,32
wind,05366012,50.395827310879355,6.511562935345368,0.2990241666666666,0.3279236615891681,46775.0,30
wind,05366016,50.636896934614924,6.816714978065488,0.2580388888888889,0.2643766666666666,5500.0,3
wind,05366020,50.44710637558928,6.424970077544566,0.30334999999999995,0.30334999999999995,1500.0,1
wind,05366024,50.51643062229896,6.553026166504475,0.3553316287878786,0.3665989679605669,54100.0,22
wind,05366028,50.59164010852865,6.648070744891269,0.27281015625,0.3019558429271933,31270.0,16
wind,05366032,50.492198206271794,6.66348906880982,0.16868194444444443,0.16868194444444445,6900.0,3
wind,05366036,50.556778661268474,6.451482088889499,0.38372864583333327,0.38804218639887245,23650.0,8
wind,05366040,50.731299220157354,6.837291418405885,0.24319015151515144,0.2567775462962963,14400.0,11
wind,05366044,50.68735533222836,6.668917978073099,0.2566541666666667,0.2573011409677607,57590.0,16
wind,05370004,51.068022745989396,6.337829498633693,0.2731413690476192,0.3002464031971581,112600.0,42
wind,05370008,51.00158576625616,6.014575860796167,0.3056436507936507,0.3235591666666667,33500.0,21
wind,05370012,50.9736264295863,6.132078183106466,0.26714299999999996,0.2832806905210295,53100.0,25
wind,05370016,51.050161319018564,6.111833780668098,0.35255787037037045,0.36731413136499785,38950.0,18
wind,05370020,51.042963892538644,6.230957798948514,0.29187410714285716,0.32159942489851145,36950.0,14
wind,05370024,51.02062766567895,5.922103781110372,0.2539314814814815,0.25113600217864923,15300.0,9
wind,05370028,50.928055351283675,6.102249088382648,0.25442613636363637,0.2621074060517325,13660.0,11
wind,05370032,51.06463902420694,6.0183045740514975,0.28940883333333345,0.2970617346938775,88200.0,25
wind,05370036,51.11328242843537,6.144957709809819,0.29903263888888887,0.3379487133910712,21280.1,6
wind,05370040,51.14281934242005,6.25013043599988,0.2891011904761904,0.30878943850267365,18700.0,7
wind,05374004,51.02902184855655,7.680093989169401,0.24664166666666668,0.25795,4500.0,3
wind,05374016,51.14788440044367,7.331604144047456,0.2646760416666667,0.26507356770833335,6400.0,4
wind,05374024,51.07625250387008,7.536677533835921,0.24109166666666665,0.24201590909090906,1100.0,2
wind,05374028,50.8687376931709,7.706625045534427,0.1890138888888889,0.1890138888888889,2400.0,3
wind,05374032,50.90155320800906,7.535749720195689,0.2512583333333333,0.2512583333333333,600.0,1
wind,05374036,51.21210864664454,7.35960647295753,0.27362083333333337,0.27362083333333337,1500.0,1
wind,05374040,50.95754457384997,7.687515389970385,0.23575000000000004,0.23575000000000002,1200.0,2
wind,05374044,50.867523154532854,7.612258444263356,0.18014583333333337,0.18014583333333337,600.0,1
wind,05374052,51.112111435685215,7.402102867076226,0.24385416666666668,0.24385416666666668,1600.0,2
wind,05378012,51.04004700173118,7.256026346347977,0.05030416666666666,0.05030416666666666,0.6,1
wind,05378016,51.11161280155617,7.060803949622729,0.14136666666666667,0.14136666666666667,275.0,1
wind,05382064,50.68563923090567,6.921002366483446,0.15035333333333334,0.16317407176611107,3209.5,5
